patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
modifier_switch_passthrough,12,mono,21,2,2,340,328,1.0000,1,1,1.0000,1
led_pairs,80,mono,34,1,2,292,212,0.0000,1,1,1.0000,1
label_i4_empty,12,classic,18,2,2,292,280,1.0000,1,1,5.2520,1
multi_module_p2b8,12,classic,36,1,2,292,280,1.0000,1,1,5.2520,1
cable_banner_combos,12,mono,2,2,2,36,24,1.0000,1,1,1.0000,1
switch_value,34,classic,2,1,1,34,0,0.0000,1,1,5.3172,0
graph_latency_chain,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
graph_topology_error,120,terminal,18,1,1,290,170,0.0000,0,0,,1
render_outlier_matrix,100,terminal,22,3,3,358,258,0.0000,0,1,,1
cable_banner_combos,80,classic,2,2,2,36,0,0.0000,1,1,5.2520,0
physical_multirow_rack,120,terminal,289,2,17,310,190,0.0000,0,0,,1
arpeggio1,80,mono,14,2,2,228,148,0.0000,1,1,1.0000,1
graph_latency_chain,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
arpeggio1,100,terminal,14,2,2,228,128,0.0000,0,1,,1
arpeggio1,100,mono,14,2,2,228,128,0.0000,0,1,1.0000,1
graph_latency_fanout,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
source_navigation,100,classic,26,2,2,420,320,0.0000,0,1,5.2520,1
alg27_2,480,classic,37,3,4,440,0,0.0000,0,0,5.2520,0
droid_mpfs5drum,920,terminal,57,4,4,920,0,0.0000,0,0,,0
optimizer_latency,100,mono,2,2,2,36,0,0.0000,0,1,1.0000,1
graph_edge_kinds,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
led_pairs_kinds,100,classic,8,1,1,130,30,0.0000,0,1,5.2520,1
alg27_2,100,mono,37,3,4,440,340,0.0000,0,1,1.0000,1
optimizer_latency,100,classic,2,2,2,36,0,0.0000,0,1,5.3172,0
graph_edge_kinds,80,terminal,18,1,1,290,210,0.0000,1,1,,1
graph_latency_fanout,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
led_pairs,332,classic,34,1,2,292,0,0.0000,0,0,5.2520,0
modifier_switch_passthrough,100,classic,21,2,2,340,240,0.0000,0,1,5.2520,1
label_i4_empty,120,mono,18,2,2,292,172,0.0000,0,0,1.0000,1
switch_value,120,mono,2,1,1,34,0,0.0000,0,0,1.0000,1
cable_banner_combos,12,classic,2,2,2,36,24,1.0000,1,1,5.2520,1
led_pairs,12,classic,34,1,2,292,280,1.0000,1,1,5.2520,1
graph_edge_kinds,330,terminal,18,1,1,290,0,0.0000,0,0,,0
cable_banner_combos,120,mono,2,2,2,36,0,0.0000,0,0,1.0000,1
droid_mpfs5drum,80,terminal,57,4,4,920,840,0.0000,1,1,,1
graph_latency_fanout,12,terminal,18,1,1,290,278,1.0000,1,1,,1
led_pairs,120,mono,34,1,2,292,172,0.0000,0,0,1.0000,1
graph_topology_error,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
droid_mpfs5melody2,1468,classic,91,6,6,1468,0,0.0000,0,0,5.2520,0
modifier_switch_passthrough,380,classic,21,2,2,340,0,0.0000,0,0,5.2520,0
arpeggio1,12,terminal,14,2,2,228,216,1.0000,1,1,,1
graph_latency_error,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
cable_banner_combos,36,terminal,2,2,2,36,0,0.0000,1,1,,0
label_i4_empty,100,classic,18,2,2,292,192,0.0000,0,1,5.2520,1
graph_latency_error,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
droid_mpfs5melody2,100,classic,91,6,6,1468,1368,0.0000,0,1,5.2520,1
led_pairs,292,terminal,34,1,2,292,0,0.0000,0,0,,0
led_pairs_kinds,130,terminal,8,1,1,130,0,0.0000,0,0,,0
alg27_2,80,classic,37,3,4,440,360,0.0000,1,1,5.2520,1
source_navigation,420,classic,26,2,2,420,0,0.0000,0,0,5.2520,0
modifier_switch_passthrough,340,terminal,21,2,2,340,0,0.0000,0,0,,0
source_navigation,460,terminal,26,2,2,420,0,0.0000,0,0,,0
droid_mpfs5melody2,12,terminal,91,6,6,1468,1456,1.0000,1,1,,1
numbered_led_pairs,12,terminal,2,1,1,34,22,1.0000,1,1,,1
optimizer_latency,100,terminal,2,2,2,36,0,0.0000,0,1,,0
graph_topology_error,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
label_i4_empty,100,mono,18,2,2,292,192,0.0000,0,1,1.0000,1
